ubicageo_d,entidad_c,entifed1,municip1,mariamtt,mariam1,mariam2
12066,12,GUERRERO,TLAPA DE COMONFORT,0,0,0
12067,12,GUERRERO,TLAPEHUALA,0,0,0
12068,12,GUERRERO,LA UNIÓN DE ISIDORO MONTES DE OCA,0,0,0
12069,12,GUERRERO,XALPATLÁHUAC,0,0,0
12070,12,GUERRERO,XOCHIHUEHUETLÁN,0,0,0
12071,12,GUERRERO,XOCHISTLAHUACA,0,0,0
12072,12,GUERRERO,ZAPOTITLÁN TABLAS,0,0,0
12073,12,GUERRERO,ZIRÁNDARO,0,0,0
12074,12,GUERRERO,ZITLALA,0,0,0
12075,12,GUERRERO,EDUARDO NERI,0,0,0
12076,12,GUERRERO,ACATEPEC,0,0,0
12077,12,GUERRERO,MARQUELIA,0,0,0
12078,12,GUERRERO,COCHOAPA EL GRANDE,0,0,0
12079,12,GUERRERO,JOSÉ JOAQUÍN DE HERRERA,0,0,0
12080,12,GUERRERO,JUCHITÁN,0,0,0
12081,12,GUERRERO,ILIATENCO,0,0,0
12997,12,GUERRERO,NO ESPECIFICADO,,,
13001,13,HIDALGO,ACATLÁN,0,0,0
13002,13,HIDALGO,ACAXOCHITLÁN,0,0,0
13003,13,HIDALGO,ACTOPAN,0,0,0
13004,13,HIDALGO,AGUA BLANCA DE ITURBIDE,0,0,0
13005,13,HIDALGO,AJACUBA,0,0,0
13006,13,HIDALGO,ALFAJAYUCAN,0,0,0
13007,13,HIDALGO,ALMOLOYA,0,0,0
13008,13,HIDALGO,APAN,0,0,0
13009,13,HIDALGO,EL ARENAL,0,0,0
13010,13,HIDALGO,ATITALAQUIA,0,0,0
13011,13,HIDALGO,ATLAPEXCO,0,0,0
13012,13,HIDALGO,ATOTONILCO EL GRANDE,0,0,0
13013,13,HIDALGO,ATOTONILCO DE TULA,0,0,0
13014,13,HIDALGO,CALNALI,0,0,0
13015,13,HIDALGO,CARDONAL,0,0,0
13016,13,HIDALGO,CUAUTEPEC DE HINOJOSA,0,0,0
13017,13,HIDALGO,CHAPANTONGO,0,0,0
13018,13,HIDALGO,CHAPULHUACÁN,0,0,0
13019,13,HIDALGO,CHILCUAUTLA,0,0,0
13020,13,HIDALGO,ELOXOCHITLÁN,0,0,0
13021,13,HIDALGO,EMILIANO ZAPATA,0,0,0
13022,13,HIDALGO,EPAZOYUCAN,0,0,0
13023,13,HIDALGO,FRANCISCO I. MADERO,0,0,0
13024,13,HIDALGO,HUASCA DE OCAMPO,0,0,0
13025,13,HIDALGO,HUAUTLA,0,0,0
13026,13,HIDALGO,HUAZALINGO,0,0,0
13027,13,HIDALGO,HUEHUETLA,0,0,0
13028,13,HIDALGO,HUEJUTLA DE REYES,0,0,0
13029,13,HIDALGO,HUICHAPAN,0,0,0
13030,13,HIDALGO,IXMIQUILPAN,0,0,0
13031,13,HIDALGO,JACALA DE LEDEZMA,0,0,0
13032,13,HIDALGO,JALTOCÁN,0,0,0
13033,13,HIDALGO,JUÁREZ HIDALGO,0,0,0
13034,13,HIDALGO,LOLOTLA,0,0,0
13035,13,HIDALGO,METEPEC,0,0,0
13036,13,HIDALGO,SAN AGUSTÍN METZQUITITLÁN,0,0,0
13037,13,HIDALGO,METZTITLÁN,0,0,0
13038,13,HIDALGO,MINERAL DEL CHICO,0,0,0
13039,13,HIDALGO,MINERAL DEL MONTE,0,0,0
13040,13,HIDALGO,LA MISIÓN,0,0,0
13041,13,HIDALGO,MIXQUIAHUALA DE JUÁREZ,0,0,0
13042,13,HIDALGO,MOLANGO DE ESCAMILLA,0,0,0
13043,13,HIDALGO,NICOLÁS FLORES,0,0,0
13044,13,HIDALGO,NOPALA DE VILLAGRÁN,0,0,0
13045,13,HIDALGO,OMITLÁN DE JUÁREZ,0,0,0
13046,13,HIDALGO,SAN FELIPE ORIZATLÁN,0,0,0
13047,13,HIDALGO,PACULA,0,0,0
13048,13,HIDALGO,PACHUCA DE SOTO,0,0,0
13049,13,HIDALGO,PISAFLORES,0,0,0
13050,13,HIDALGO,PROGRESO DE OBREGÓN,0,0,0
13051,13,HIDALGO,MINERAL DE LA REFORMA,0,0,0
13052,13,HIDALGO,SAN AGUSTÍN TLAXIACA,0,0,0
13053,13,HIDALGO,SAN BARTOLO TUTOTEPEC,0,0,0
13054,13,HIDALGO,SAN SALVADOR,0,0,0
13055,13,HIDALGO,SANTIAGO DE ANAYA,0,0,0
13056,13,HIDALGO,SANTIAGO TULANTEPEC DE LUGO GUERRERO,0,0,0
13057,13,HIDALGO,SINGUILUCAN,0,0,0
13058,13,HIDALGO,TASQUILLO,0,0,0
13059,13,HIDALGO,TECOZAUTLA,0,0,0
13060,13,HIDALGO,TENANGO DE DORIA,0,0,0
13061,13,HIDALGO,TEPEAPULCO,0,0,0
13062,13,HIDALGO,TEPEHUACÁN DE GUERRERO,0,0,0
13063,13,HIDALGO,TEPEJI DEL RÍO DE OCAMPO,0,0,0
13064,13,HIDALGO,TEPETITLÁN,0,0,0
13065,13,HIDALGO,TETEPANGO,0,0,0
13066,13,HIDALGO,VILLA DE TEZONTEPEC,0,0,0
13067,13,HIDALGO,TEZONTEPEC DE ALDAMA,0,0,0
13068,13,HIDALGO,TIANGUISTENGO,0,0,0
13069,13,HIDALGO,TIZAYUCA,0,0,0
13070,13,HIDALGO,TLAHUELILPAN,0,0,0
13071,13,HIDALGO,TLAHUILTEPA,0,0,0
13072,13,HIDALGO,TLANALAPA,0,0,0
13073,13,HIDALGO,TLANCHINOL,0,0,0
13074,13,HIDALGO,TLAXCOAPAN,0,0,0
13075,13,HIDALGO,TOLCAYUCA,0,0,0
13076,13,HIDALGO,TULA DE ALLENDE,0,0,0
13077,13,HIDALGO,TULANCINGO DE BRAVO,0,0,0
13078,13,HIDALGO,XOCHIATIPAN,0,0,0
13079,13,HIDALGO,XOCHICOATLÁN,0,0,0
13080,13,HIDALGO,YAHUALICA,0,0,0
13081,13,HIDALGO,ZACUALTIPÁN DE ÁNGELES,0,0,0
13082,13,HIDALGO,ZAPOTLÁN DE JUÁREZ,0,0,0
13083,13,HIDALGO,ZEMPOALA,0,0,0
13084,13,HIDALGO,ZIMAPÁN,0,0,0
13997,13,HIDALGO,NO ESPECIFICADO,,,
14001,14,JALISCO,ACATIC,0,0,0
14002,14,JALISCO,ACATLÁN DE JUÁREZ,0,0,0
14003,14,JALISCO,AHUALULCO DE MERCADO,0,0,0
14004,14,JALISCO,AMACUECA,0,0,0
14005,14,JALISCO,AMATITÁN,0,0,0
14006,14,JALISCO,AMECA,0,0,0
14007,14,JALISCO,SAN JUANITO DE ESCOBEDO,0,0,0
14008,14,JALISCO,ARANDAS,0,0,0
14009,14,JALISCO,EL ARENAL,0,0,0
14010,14,JALISCO,ATEMAJAC DE BRIZUELA,0,0,0
14011,14,JALISCO,ATENGO,0,0,0
14012,14,JALISCO,ATENGUILLO,0,0,0
14013,14,JALISCO,ATOTONILCO EL ALTO,0,0,0
14014,14,JALISCO,ATOYAC,0,0,0
14015,14,JALISCO,AUTLÁN DE NAVARRO,0,0,0
14016,14,JALISCO,AYOTLÁN,0,0,0
14017,14,JALISCO,AYUTLA,0,0,0
14018,14,JALISCO,LA BARCA,0,0,0
14019,14,JALISCO,BOLAÑOS,0,0,0
14020,14,JALISCO,CABO CORRIENTES,0,0,0
14021,14,JALISCO,CASIMIRO CASTILLO,0,0,0
14022,14,JALISCO,CIHUATLÁN,0,0,0
14023,14,JALISCO,ZAPOTLÁN EL GRANDE,0,0,0
14024,14,JALISCO,COCULA,0,0,0
14025,14,JALISCO,COLOTLÁN,0,0,0
14026,14,JALISCO,CONCEPCIÓN DE BUENOS AIRES,0,0,0
14027,14,JALISCO,CUAUTITLÁN DE GARCÍA BARRAGÁN,0,0,0
14028,14,JALISCO,CUAUTLA,0,0,0
14029,14,JALISCO,CUQUÍO,0,0,0
14030,14,JALISCO,CHAPALA,0,0,0
14031,14,JALISCO,CHIMALTITÁN,0,0,0
14032,14,JALISCO,CHIQUILISTLÁN,0,0,0
14033,14,JALISCO,DEGOLLADO,0,0,0
14034,14,JALISCO,EJUTLA,0,0,0
14035,14,JALISCO,ENCARNACIÓN DE DÍAZ,0,0,0
14036,14,JALISCO,ETZATLÁN,0,0,0
14037,14,JALISCO,EL GRULLO,0,0,0
14038,14,JALISCO,GUACHINANGO,0,0,0
14039,14,JALISCO,GUADALAJARA,0,0,0
14040,14,JALISCO,HOSTOTIPAQUILLO,0,0,0
14041,14,JALISCO,HUEJÚCAR,0,0,0
14042,14,JALISCO,HUEJUQUILLA EL ALTO,0,0,0
14043,14,JALISCO,LA HUERTA,0,0,0
14044,14,JALISCO,IXTLAHUACÁN DE LOS MEMBRILLOS,0,0,0
14045,14,JALISCO,IXTLAHUACÁN DEL RÍO,0,0,0
14046,14,JALISCO,JALOSTOTITLÁN,0,0,0
14047,14,JALISCO,JAMAY,0,0,0
14048,14,JALISCO,JESÚS MARÍA,0,0,0
14049,14,JALISCO,JILOTLÁN DE LOS DOLORES,0,0,0
14050,14,JALISCO,JOCOTEPEC,0,0,0
14051,14,JALISCO,JUANACATLÁN,0,0,0
14052,14,JALISCO,JUCHITLÁN,0,0,0
14053,14,JALISCO,LAGOS DE MORENO,0,0,0
14054,14,JALISCO,EL LIMÓN,0,0,0
14055,14,JALISCO,MAGDALENA,0,0,0
14056,14,JALISCO,SANTA MARÍA DEL ORO,0,0,0
14057,14,JALISCO,LA MANZANILLA DE LA PAZ,0,0,0
14058,14,JALISCO,MASCOTA,0,0,0
14059,14,JALISCO,MAZAMITLA,0,0,0
14060,14,JALISCO,MEXTICACÁN,0,0,0
14061,14,JALISCO,MEZQUITIC,0,0,0
14062,14,JALISCO,MIXTLÁN,0,0,0
14063,14,JALISCO,OCOTLÁN,0,0,0
14064,14,JALISCO,OJUELOS DE JALISCO,0,0,0
14065,14,JALISCO,PIHUAMO,0,0,0
14066,14,JALISCO,PONCITLÁN,0,0,0
14067,14,JALISCO,PUERTO VALLARTA,0,0,0
14068,14,JALISCO,VILLA PURIFICACIÓN,0,0,0
14069,14,JALISCO,QUITUPAN,0,0,0
14070,14,JALISCO,EL SALTO,0,0,0
14071,14,JALISCO,SAN CRISTÓBAL DE LA BARRANCA,0,0,0
14072,14,JALISCO,SAN DIEGO DE ALEJANDRÍA,0,0,0
14073,14,JALISCO,SAN JUAN DE LOS LAGOS,0,0,0
14074,14,JALISCO,SAN JULIÁN,0,0,0
14075,14,JALISCO,SAN MARCOS,0,0,0
14076,14,JALISCO,SAN MARTÍN DE BOLAÑOS,0,0,0
14077,14,JALISCO,SAN MARTÍN HIDALGO,0,0,0
14078,14,JALISCO,SAN MIGUEL EL ALTO,0,0,0
14079,14,JALISCO,GÓMEZ FARÍAS,0,0,0
14080,14,JALISCO,SAN SEBASTIÁN DEL OESTE,0,0,0
14081,14,JALISCO,SANTA MARÍA DE LOS ÁNGELES,0,0,0
14082,14,JALISCO,SAYULA,0,0,0
14083,14,JALISCO,TALA,0,0,0
14084,14,JALISCO,TALPA DE ALLENDE,0,0,0
14085,14,JALISCO,TAMAZULA DE GORDIANO,0,0,0
14086,14,JALISCO,TAPALPA,0,0,0
14087,14,JALISCO,TECALITLÁN,0,0,0
14088,14,JALISCO,TECOLOTLÁN,0,0,0
14089,14,JALISCO,TECHALUTA DE MONTENEGRO,0,0,0
14090,14,JALISCO,TENAMAXTLÁN,0,0,0
14091,14,JALISCO,TEOCALTICHE,0,0,0
14092,14,JALISCO,TEOCUITATLÁN DE CORONA,0,0,0
14093,14,JALISCO,TEPATITLÁN DE MORELOS,0,0,0
14094,14,JALISCO,TEQUILA,0,0,0
14095,14,JALISCO,TEUCHITLÁN,0,0,0
14096,14,JALISCO,TIZAPÁN EL ALTO,0,0,0
14097,14,JALISCO,TLAJOMULCO DE ZÚÑIGA,0,0,0
14098,14,JALISCO,SAN PEDRO TLAQUEPAQUE,0,0,0
14099,14,JALISCO,TOLIMÁN,0,0,0
14100,14,JALISCO,TOMATLÁN,0,0,0
14101,14,JALISCO,TONALÁ,0,0,0
14102,14,JALISCO,TONAYA,0,0,0
14103,14,JALISCO,TONILA,0,0,0
14104,14,JALISCO,TOTATICHE,0,0,0
14105,14,JALISCO,TOTOTLÁN,0,0,0
14106,14,JALISCO,TUXCACUESCO,0,0,0
14107,14,JALISCO,TUXCUECA,0,0,0
14108,14,JALISCO,TUXPAN,0,0,0
14109,14,JALISCO,UNIÓN DE SAN ANTONIO,0,0,0
14110,14,JALISCO,UNIÓN DE TULA,0,0,0
14111,14,JALISCO,VALLE DE GUADALUPE,0,0,0
14112,14,JALISCO,VALLE DE JUÁREZ,0,0,0
14113,14,JALISCO,SAN GABRIEL,0,0,0
14114,14,JALISCO,VILLA CORONA,0,0,0
14115,14,JALISCO,VILLA GUERRERO,0,0,0
14116,14,JALISCO,VILLA HIDALGO,0,0,0
14117,14,JALISCO,CAÑADAS DE OBREGÓN,0,0,0
14118,14,JALISCO,YAHUALICA DE GONZÁLEZ GALLO,0,0,0
14119,14,JALISCO,ZACOALCO DE TORRES,0,0,0
14120,14,JALISCO,ZAPOPAN,0,0,0
14121,14,JALISCO,ZAPOTILTIC,0,0,0
14122,14,JALISCO,ZAPOTITLÁN DE VADILLO,0,0,0
14123,14,JALISCO,ZAPOTLÁN DEL REY,0,0,0
14124,14,JALISCO,ZAPOTLANEJO,0,0,0
14125,14,JALISCO,SAN IGNACIO CERRO GORDO,0,0,0
14997,14,JALISCO,NO ESPECIFICADO,,,
15001,15,MÉXICO PONIENTE,ACAMBAY DE RUÍZ CASTAÑEDA,0,0,0
15002,15,MÉXICO ORIENTE,ACOLMAN,0,0,0
15003,15,MÉXICO PONIENTE,ACULCO,0,0,0
15004,15,MÉXICO PONIENTE,ALMOLOYA DE ALQUISIRAS,0,0,0
15005,15,MÉXICO PONIENTE,ALMOLOYA DE JUÁREZ,0,0,0
15006,15,MÉXICO PONIENTE,ALMOLOYA DEL RÍO,0,0,0
15007,15,MÉXICO PONIENTE,AMANALCO,0,0,0
15008,15,MÉXICO PONIENTE,AMATEPEC,0,0,0
15009,15,MÉXICO ORIENTE,AMECAMECA,0,0,0
15010,15,MÉXICO ORIENTE,APAXCO,0,0,0
15011,15,MÉXICO ORIENTE,ATENCO,0,0,0
15012,15,MÉXICO PONIENTE,ATIZAPÁN,0,0,0
15013,15,MÉXICO ORIENTE,ATIZAPÁN DE ZARAGOZA,0,0,0
15014,15,MÉXICO PONIENTE,ATLACOMULCO,0,0,0
15015,15,MÉXICO ORIENTE,ATLAUTLA,0,0,0
15016,15,MÉXICO ORIENTE,AXAPUSCO,0,0,0
15017,15,MÉXICO ORIENTE,AYAPANGO,0,0,0
15018,15,MÉXICO PONIENTE,CALIMAYA,0,0,0
15019,15,MÉXICO PONIENTE,CAPULHUAC,0,0,0
15020,15,MÉXICO ORIENTE,COACALCO DE BERRIOZÁBAL,0,0,0
15021,15,MÉXICO PONIENTE,COATEPEC HARINAS,0,0,0
15022,15,MÉXICO ORIENTE,COCOTITLÁN,0,0,0
15023,15,MÉXICO ORIENTE,COYOTEPEC,0,0,0
15024,15,MÉXICO ORIENTE,CUAUTITLÁN,0,0,0
15025,15,MÉXICO ORIENTE,CHALCO,0,0,0
15026,15,MÉXICO PONIENTE,CHAPA DE MOTA,0,0,0
15027,15,MÉXICO PONIENTE,CHAPULTEPEC,0,0,0
15028,15,MÉXICO ORIENTE,CHIAUTLA,0,0,0
15029,15,MÉXICO ORIENTE,CHICOLOAPAN,0,0,0
15030,15,MÉXICO ORIENTE,CHICONCUAC,0,0,0
15031,15,MÉXICO ORIENTE,CHIMALHUACÁN,0,0,0
15032,15,MÉXICO PONIENTE,DONATO GUERRA,0,0,0
15033,15,MÉXICO ORIENTE,ECATEPEC DE MORELOS,0,0,0
15034,15,MÉXICO ORIENTE,ECATZINGO,0,0,0
15035,15,MÉXICO ORIENTE,HUEHUETOCA,0,0,0
15036,15,MÉXICO ORIENTE,HUEYPOXTLA,0,0,0
15037,15,MÉXICO ORIENTE,HUIXQUILUCAN,0,0,0
15038,15,MÉXICO PONIENTE,ISIDRO FABELA,0,0,0
15039,15,MÉXICO ORIENTE,IXTAPALUCA,0,0,0
15040,15,MÉXICO PONIENTE,IXTAPAN DE LA SAL,0,0,0
15041,15,MÉXICO PONIENTE,IXTAPAN DEL ORO,0,0,0
15042,15,MÉXICO PONIENTE,IXTLAHUACA,0,0,0
15043,15,MÉXICO PONIENTE,XALATLACO,0,0,0
15044,15,MÉXICO ORIENTE,JALTENCO,0,0,0
15045,15,MÉXICO PONIENTE,JILOTEPEC,0,0,0
15046,15,MÉXICO PONIENTE,JILOTZINGO,0,0,0
15047,15,MÉXICO PONIENTE,JIQUIPILCO,0,0,0
15048,15,MÉXICO PONIENTE,JOCOTITLÁN,0,0,0
15049,15,MÉXICO PONIENTE,JOQUICINGO,0,0,0
15050,15,MÉXICO ORIENTE,JUCHITEPEC,0,0,0
15051,15,MÉXICO PONIENTE,LERMA,0,0,0
15052,15,MÉXICO PONIENTE,MALINALCO,0,0,0
15053,15,MÉXICO ORIENTE,MELCHOR OCAMPO,0,0,0
15054,15,MÉXICO PONIENTE,METEPEC,0,0,0
15055,15,MÉXICO PONIENTE,MEXICALTZINGO,0,0,0
15056,15,MÉXICO PONIENTE,MORELOS,0,0,0
15057,15,MÉXICO ORIENTE,NAUCALPAN DE JUÁREZ,0,0,0
15058,15,MÉXICO ORIENTE,NEZAHUALCÓYOTL,0,0,0
15059,15,MÉXICO ORIENTE,NEXTLALPAN,0,0,0
15060,15,MÉXICO PONIENTE,NICOLÁS ROMERO,0,0,0
15061,15,MÉXICO ORIENTE,NOPALTEPEC,0,0,0
15062,15,MÉXICO PONIENTE,OCOYOACAC,0,0,0
15063,15,MÉXICO PONIENTE,OCUILAN,0,0,0
15064,15,MÉXICO PONIENTE,EL ORO,0,0,0
15065,15,MÉXICO ORIENTE,OTUMBA,0,0,0
15066,15,MÉXICO PONIENTE,OTZOLOAPAN,0,0,0
15067,15,MÉXICO PONIENTE,OTZOLOTEPEC,0,0,0
15068,15,MÉXICO ORIENTE,OZUMBA,0,0,0
15069,15,MÉXICO ORIENTE,PAPALOTLA,0,0,0
15070,15,MÉXICO ORIENTE,LA PAZ,0,0,0
15071,15,MÉXICO PONIENTE,POLOTITLÁN,0,0,0
15072,15,MÉXICO PONIENTE,RAYÓN,0,0,0
15073,15,MÉXICO PONIENTE,SAN ANTONIO LA ISLA,0,0,0
15074,15,MÉXICO PONIENTE,SAN FELIPE DEL PROGRESO,0,0,0
15075,15,MÉXICO ORIENTE,SAN MARTÍN DE LAS PIRÁMIDES,0,0,0
15076,15,MÉXICO PONIENTE,SAN MATEO ATENCO,0,0,0
15077,15,MÉXICO PONIENTE,SAN SIMÓN DE GUERRERO,0,0,0
15078,15,MÉXICO PONIENTE,SANTO TOMÁS,0,0,0
15079,15,MÉXICO PONIENTE,SOYANIQUILPAN DE JUÁREZ,0,0,0
15080,15,MÉXICO PONIENTE,SULTEPEC,0,0,0
15081,15,MÉXICO ORIENTE,TECÁMAC,0,0,0
15082,15,MÉXICO PONIENTE,TEJUPILCO,0,0,0
15083,15,MÉXICO ORIENTE,TEMAMATLA,0,0,0
15084,15,MÉXICO ORIENTE,TEMASCALAPA,0,0,0
15085,15,MÉXICO PONIENTE,TEMASCALCINGO,0,0,0
15086,15,MÉXICO PONIENTE,TEMASCALTEPEC,0,0,0
15087,15,MÉXICO PONIENTE,TEMOAYA,0,0,0
15088,15,MÉXICO PONIENTE,TENANCINGO,0,0,0
15089,15,MÉXICO ORIENTE,TENANGO DEL AIRE,0,0,0
15090,15,MÉXICO PONIENTE,TENANGO DEL VALLE,0,0,0
15091,15,MÉXICO ORIENTE,TEOLOYUCAN,0,0,0
15092,15,MÉXICO ORIENTE,TEOTIHUACÁN,0,0,0
15093,15,MÉXICO ORIENTE,TEPETLAOXTOC,0,0,0
15094,15,MÉXICO ORIENTE,TEPETLIXPA,0,0,0
15095,15,MÉXICO PONIENTE,TEPOTZOTLÁN,0,0,0
15096,15,MÉXICO ORIENTE,TEQUIXQUIAC,0,0,0
15097,15,MÉXICO PONIENTE,TEXCALTITLÁN,0,0,0
15098,15,MÉXICO PONIENTE,TEXCALYACAC,0,0,0
15099,15,MÉXICO ORIENTE,TEXCOCO,0,0,0
15100,15,MÉXICO ORIENTE,TEZOYUCA,0,0,0
15101,15,MÉXICO PONIENTE,TIANGUISTENCO,0,0,0
15102,15,MÉXICO PONIENTE,TIMILPAN,0,0,0
15103,15,MÉXICO ORIENTE,TLALMANALCO,0,0,0
15104,15,MÉXICO ORIENTE,TLALNEPANTLA DE BAZ,0,0,0
15105,15,MÉXICO PONIENTE,TLATLAYA,0,0,0
15106,15,MÉXICO PONIENTE,TOLUCA,0,0,0
15107,15,MÉXICO PONIENTE,TONATICO,0,0,0
15108,15,MÉXICO ORIENTE,TULTEPEC,0,0,0
15109,15,MÉXICO ORIENTE,TULTITLÁN,0,0,0
15110,15,MÉXICO PONIENTE,VALLE DE BRAVO,0,0,0
15111,15,MÉXICO PONIENTE,VILLA DE ALLENDE,0,0,0
15112,15,MÉXICO PONIENTE,VILLA DEL CARBÓN,0,0,0
15113,15,MÉXICO PONIENTE,VILLA GUERRERO,0,0,0
15114,15,MÉXICO PONIENTE,VILLA VICTORIA,0,0,0
15115,15,MÉXICO PONIENTE,XONACATLÁN,0,0,0
15116,15,MÉXICO PONIENTE,ZACAZONAPAN,0,0,0
15117,15,MÉXICO PONIENTE,ZACUALPAN,0,0,0
15118,15,MÉXICO PONIENTE,ZINACANTEPEC,0,0,0
15119,15,MÉXICO PONIENTE,ZUMPAHUACÁN,0,0,0
15120,15,MÉXICO ORIENTE,ZUMPANGO,0,0,0
15121,15,MÉXICO ORIENTE,CUAUTITLÁN IZCALLI,0,0,0
15122,15,MÉXICO ORIENTE,VALLE DE CHALCO SOLIDARIDAD,0,0,0
15123,15,MÉXICO PONIENTE,LUVIANOS,0,0,0
15124,15,MÉXICO PONIENTE,SAN JOSÉ DEL RINCÓN,0,0,0
15125,15,MÉXICO ORIENTE,TONANITLA,0,0,0
15997,15,MÉXICO,NO ESPECIFICADO,,,
16001,16,MICHOACÁN DE OCAMPO,ACUITZIO,0,0,0
16002,16,MICHOACÁN DE OCAMPO,AGUILILLA,0,0,0
16003,16,MICHOACÁN DE OCAMPO,ÁLVARO OBREGÓN,0,0,0
16004,16,MICHOACÁN DE OCAMPO,ANGAMACUTIRO,0,0,0
16005,16,MICHOACÁN DE OCAMPO,ANGANGUEO,0,0,0
16006,16,MICHOACÁN DE OCAMPO,APATZINGÁN,0,0,0
16007,16,MICHOACÁN DE OCAMPO,APORO,0,0,0
16008,16,MICHOACÁN DE OCAMPO,AQUILA,0,0,0
16009,16,MICHOACÁN DE OCAMPO,ARIO,0,0,0
16010,16,MICHOACÁN DE OCAMPO,ARTEAGA,0,0,0
16011,16,MICHOACÁN DE OCAMPO,BRISEÑAS,0,0,0
16012,16,MICHOACÁN DE OCAMPO,BUENAVISTA,0,0,0
16013,16,MICHOACÁN DE OCAMPO,CARÁCUARO,0,0,0
16014,16,MICHOACÁN DE OCAMPO,COAHUAYANA,0,0,0
16015,16,MICHOACÁN DE OCAMPO,COALCOMÁN DE VÁZQUEZ PALLARES,0,0,0
16016,16,MICHOACÁN DE OCAMPO,COENEO,0,0,0
16017,16,MICHOACÁN DE OCAMPO,CONTEPEC,0,0,0
16018,16,MICHOACÁN DE OCAMPO,COPÁNDARO,0,0,0
16019,16,MICHOACÁN DE OCAMPO,COTIJA,0,0,0
16020,16,MICHOACÁN DE OCAMPO,CUITZEO,0,0,0
16021,16,MICHOACÁN DE OCAMPO,CHARAPAN,0,0,0
16022,16,MICHOACÁN DE OCAMPO,CHARO,0,0,0
16023,16,MICHOACÁN DE OCAMPO,CHAVINDA,0,0,0
16024,16,MICHOACÁN DE OCAMPO,CHERÁN,0,0,0
16025,16,MICHOACÁN DE OCAMPO,CHILCHOTA,0,0,0
16026,16,MICHOACÁN DE OCAMPO,CHINICUILA,0,0,0
16027,16,MICHOACÁN DE OCAMPO,CHUCÁNDIRO,0,0,0
16028,16,MICHOACÁN DE OCAMPO,CHURINTZIO,0,0,0
16029,16,MICHOACÁN DE OCAMPO,CHURUMUCO,0,0,0
16030,16,MICHOACÁN DE OCAMPO,ECUANDUREO,0,0,0
16031,16,MICHOACÁN DE OCAMPO,EPITACIO HUERTA,0,0,0
16032,16,MICHOACÁN DE OCAMPO,ERONGARÍCUARO,0,0,0
16033,16,MICHOACÁN DE OCAMPO,GABRIEL ZAMORA,0,0,0
16034,16,MICHOACÁN DE OCAMPO,HIDALGO,0,0,0
16035,16,MICHOACÁN DE OCAMPO,LA HUACANA,0,0,0
16036,16,MICHOACÁN DE OCAMPO,HUANDACAREO,0,0,0
16037,16,MICHOACÁN DE OCAMPO,HUANIQUEO,0,0,0
16038,16,MICHOACÁN DE OCAMPO,HUETAMO,0,0,0
16039,16,MICHOACÁN DE OCAMPO,HUIRAMBA,0,0,0
16040,16,MICHOACÁN DE OCAMPO,INDAPARAPEO,0,0,0
16041,16,MICHOACÁN DE OCAMPO,IRIMBO,0,0,0
16042,16,MICHOACÁN DE OCAMPO,IXTLÁN,0,0,0
16043,16,MICHOACÁN DE OCAMPO,JACONA,0,0,0
16044,16,MICHOACÁN DE OCAMPO,JIMÉNEZ,0,0,0
16045,16,MICHOACÁN DE OCAMPO,JIQUILPAN,0,0,0
16046,16,MICHOACÁN DE OCAMPO,JUÁREZ,0,0,0
16047,16,MICHOACÁN DE OCAMPO,JUNGAPEO,0,0,0
16048,16,MICHOACÁN DE OCAMPO,LAGUNILLAS,0,0,0
16049,16,MICHOACÁN DE OCAMPO,MADERO,0,0,0
16050,16,MICHOACÁN DE OCAMPO,MARAVATÍO,0,0,0
16051,16,MICHOACÁN DE OCAMPO,MARCOS CASTELLANOS,0,0,0
16052,16,MICHOACÁN DE OCAMPO,LÁZARO CÁRDENAS,0,0,0
16053,16,MICHOACÁN DE OCAMPO,MORELIA,0,0,0
16054,16,MICHOACÁN DE OCAMPO,MORELOS,0,0,0
16055,16,MICHOACÁN DE OCAMPO,MÚGICA,0,0,0
16056,16,MICHOACÁN DE OCAMPO,NAHUATZEN,0,0,0
16057,16,MICHOACÁN DE OCAMPO,NOCUPÉTARO,0,0,0
16058,16,MICHOACÁN DE OCAMPO,NUEVO PARANGARICUTIRO,0,0,0
16059,16,MICHOACÁN DE OCAMPO,NUEVO URECHO,0,0,0
16060,16,MICHOACÁN DE OCAMPO,NUMARÁN,0,0,0
16061,16,MICHOACÁN DE OCAMPO,OCAMPO,0,0,0
16062,16,MICHOACÁN DE OCAMPO,PAJACUARÁN,0,0,0
16063,16,MICHOACÁN DE OCAMPO,PANINDÍCUARO,0,0,0
16064,16,MICHOACÁN DE OCAMPO,PARÁCUARO,0,0,0
16065,16,MICHOACÁN DE OCAMPO,PARACHO,0,0,0
16066,16,MICHOACÁN DE OCAMPO,PÁTZCUARO,0,0,0
16067,16,MICHOACÁN DE OCAMPO,PENJAMILLO,0,0,0
16068,16,MICHOACÁN DE OCAMPO,PERIBÁN,0,0,0
16069,16,MICHOACÁN DE OCAMPO,LA PIEDAD,0,0,0
16070,16,MICHOACÁN DE OCAMPO,PURÉPERO,0,0,0
16071,16,MICHOACÁN DE OCAMPO,PURUÁNDIRO,0,0,0
16072,16,MICHOACÁN DE OCAMPO,QUERÉNDARO,0,0,0
16073,16,MICHOACÁN DE OCAMPO,QUIROGA,0,0,0
16074,16,MICHOACÁN DE OCAMPO,COJUMATLÁN DE RÉGULES,0,0,0
16075,16,MICHOACÁN DE OCAMPO,LOS REYES,0,0,0
